RollNo,Aggregate,Backlogs,10th_agg,12th_agg,Workshops,Languages,Target
1000000,78.0,0,85.3,77.4,0,1,Placed
1000001,75.8,0,80.9,78.2,0,1,Placed
1000002,51.3,0,56.5,54.2,0,1,Not Placed
1000003,63.1,1,83.9,70.1,0,2,Not Placed
1000004,64.8,0,71.3,64.7,1,1,Not Placed
1000005,70.1,0,71.7,80.5,1,1,Placed
1000006,80.9,1,89.7,80.8,0,3,Placed
1000007,53.0,0,55.3,58.7,2,1,Not Placed
1000008,63.9,1,74.9,71.8,1,2,Placed
1000009,82.7,0,83.1,93.2,0,1,Placed
1000010,81.8,0,96.5,81.6,1,2,Placed
1000011,71.1,0,96.0,71.5,0,1,Placed
1000012,73.0,0,79.5,82.6,0,1,Not Placed
1000013,72.2,1,79.2,75.1,0,4,Not Placed
1000014,83.0,0,92.6,94.8,3,1,Placed
1000015,74.1,1,88.5,77.6,2,1,Not Placed
1000016,55.0,1,60.9,62.3,0,1,Not Placed
1000017,70.0,0,77.9,66.6,0,1,Placed
1000018,72.7,1,93.0,80.1,0,1,Not Placed
1000019,68.9,0,80.7,68.1,2,1,Not Placed
1000020,88.8,0,89.8,89.4,2,1,Placed
1000021,72.9,1,89.5,82.3,0,1,Placed
1000022,59.3,0,69.6,67.4,0,1,Not Placed
1000023,70.1,0,76.3,77.8,1,3,Placed
1000024,52.7,1,61.6,50.5,0,2,Not Placed
1000025,86.3,0,97.4,97.4,0,1,Placed
1000026,75.5,1,79.9,81.4,1,2,Placed
1000027,57.4,0,61.6,56.7,2,2,Not Placed
1000028,81.9,1,98.0,80.0,0,5,Placed
1000029,62.7,0,76.8,70.4,1,2,Not Placed
1000030,79.5,0,83.2,84.7,0,4,Not Placed
1000031,70.4,0,77.7,79.1,5,4,Not Placed
1000032,84.5,0,90.8,90.6,4,2,Placed
1000033,57.1,1,65.3,56.3,3,2,Not Placed
1000034,60.5,0,75.4,68.1,3,3,Not Placed
1000035,78.2,0,92.8,88.1,2,3,Placed
1000036,62.7,0,69.5,67.5,1,1,Not Placed
1000037,65.6,1,69.1,68.9,1,2,Placed
1000038,63.2,1,72.3,80.2,1,2,Not Placed
1000039,94.1,0,98.0,96.0,0,1,Placed
1000040,78.1,0,90.4,81.4,0,1,Placed
1000041,68.2,0,78.1,81.4,1,1,Placed
1000042,87.2,1,91.7,91.0,0,1,Placed
1000043,94.5,1,92.5,93.0,1,2,Placed
1000044,89.3,0,90.1,96.3,0,1,Placed
1000045,82.9,1,94.2,88.5,1,1,Placed
1000046,97.6,0,95.8,98.0,3,1,Placed
1000047,70.7,1,76.3,76.7,0,3,Placed
1000048,64.9,1,77.2,74.7,3,2,Not Placed
1000049,89.4,0,98.0,90.9,2,5,Placed
1000050,87.3,0,92.4,98.0,2,1,Placed
1000051,66.7,0,72.1,76.5,3,1,Placed
1000052,75.9,0,83.2,90.5,0,1,Placed
1000053,84.8,0,96.6,93.1,2,1,Placed
1000054,72.9,0,77.5,76.4,0,1,Not Placed
1000055,81.6,0,87.5,87.7,2,2,Placed
1000056,54.6,0,55.6,56.3,0,2,Not Placed
1000057,88.3,0,94.8,93.3,0,1,Placed
1000058,75.9,0,79.7,83.3,0,1,Placed
1000059,73.1,1,81.4,83.0,5,1,Not Placed
1000060,72.3,0,82.8,75.1,1,2,Not Placed
1000061,94.3,1,98.0,98.0,1,1,Placed
1000062,46.5,0,51.9,50.0,2,2,Not Placed
1000063,76.3,0,88.1,88.7,0,4,Placed
1000064,86.2,0,91.8,92.6,0,5,Placed
1000065,58.8,0,54.6,59.3,0,1,Not Placed
1000066,72.1,0,80.3,75.5,0,4,Placed
1000067,52.8,1,66.1,65.5,0,1,Not Placed
1000068,90.6,0,98.0,96.5,1,3,Placed
1000069,85.8,1,98.0,95.2,0,1,Placed
1000070,84.7,0,83.9,94.1,0,1,Placed
1000071,70.4,0,83.3,77.0,4,1,Not Placed
1000072,51.6,0,59.3,56.5,0,2,Not Placed
1000073,76.8,1,79.3,84.3,0,3,Placed
1000074,60.2,1,70.7,61.1,0,1,Not Placed
1000075,65.3,1,73.6,58.9,1,1,Not Placed
1000076,63.6,0,72.7,72.9,2,1,Not Placed
1000077,64.6,0,84.4,68.0,0,1,Not Placed
1000078,78.9,0,88.5,79.1,0,1,Placed
1000079,73.0,0,80.0,77.7,0,1,Placed
1000080,92.2,0,98.0,92.9,1,2,Placed
1000081,72.0,0,78.0,73.6,0,2,Placed
1000082,55.2,1,66.0,57.9,0,1,Not Placed
1000083,64.5,1,60.0,72.9,5,1,Not Placed
1000084,65.1,1,76.9,72.7,1,2,Not Placed
1000085,74.5,0,79.7,74.5,0,1,Placed
1000086,75.1,0,78.6,74.4,0,1,Placed
1000087,75.2,0,80.2,84.0,1,2,Placed
1000088,45.0,0,50.0,50.8,0,1,Not Placed
1000089,73.1,0,80.5,78.6,2,1,Placed
1000090,76.7,0,82.6,70.7,3,1,Placed
1000091,76.3,0,80.9,70.2,0,2,Placed
1000092,75.9,0,82.8,85.4,1,1,Placed
1000093,73.1,0,76.8,76.1,2,2,Placed
1000094,74.2,1,83.4,73.7,2,1,Not Placed
1000095,62.2,0,68.5,71.3,2,1,Not Placed
1000096,68.8,0,71.9,71.6,1,2,Not Placed
1000097,65.4,0,65.2,71.8,0,1,Not Placed
1000098,50.7,0,66.1,56.6,1,1,Not Placed
1000099,98.0,0,98.0,98.0,3,2,Placed
1000100,94.6,0,98.0,98.0,3,1,Placed
1000101,73.2,0,93.9,80.8,0,1,Placed
1000102,59.9,0,59.6,63.7,0,2,Not Placed
1000103,79.5,1,81.9,83.8,0,1,Placed
1000104,69.2,0,80.7,69.1,4,1,Placed
1000105,78.2,1,86.2,84.0,1,1,Placed
1000106,74.4,1,81.7,92.2,0,2,Not Placed
1000107,58.7,0,56.3,57.5,1,1,Not Placed
1000108,55.1,0,59.2,58.3,0,2,Not Placed
1000109,71.2,1,75.6,72.5,1,1,Placed
1000110,65.7,0,76.2,69.0,0,2,Not Placed
1000111,69.2,0,85.5,69.2,0,1,Not Placed
1000112,75.9,0,77.7,74.7,0,2,Placed
